ltc	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	rtc
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	planks	fl	fl	fl	fl	fl	fl	fl	fl	planks	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	planks	fl	enemy_spawner	enemy_spawner	fl	fl	enemy_spawner	enemy_spawner	fl	planks	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	planks	fl	enemy_spawner	enemy_spawner	fl	fl	enemy_spawner	enemy_spawner	fl	planks	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	planks	fl	fl	fl	fl	fl	fl	fl	fl	planks	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	rock	rock	rock	rock	rock	rock	rock	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lbc	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	rbc
