ltc	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	rtc
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	barrel	barrel	box	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	wood	wood	fl	fl	fl	fl	rw
lw	fl	fl	box	box	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	fl	fl	fl	wood	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	fl	fl	fl	wood	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	fl	fl	fl	wood	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	wood	fl	wood	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	wood	wood	wood	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	wood	fl	trader	fl	wood	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	wood	barrel	fl	fl	wood	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	wood	fl	fl	box	wood	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	box	fl	fl	rw
lw	fl	fl	fl	fl	wood	wood	wood	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	box	box	box	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lbc	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	rbc
