ltc	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	tmw	rtc
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	planks	planks	planks	planks	planks	fl	fl	fl	rw
lw	fl	fl	fl	fl	rock	rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	planks	fl	fl	rw
lw	fl	fl	fl	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	chest	fl	fl	planks	fl	fl	rw
lw	fl	fl	fl	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	planks	fl	fl	rw
lw	fl	fl	planks	planks	planks	planks	planks	planks	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	planks	planks	fl	fl	fl	rw
lw	fl	fl	planks	planks	planks	planks	planks	planks	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	rock	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	rock	rock	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	rock	rock	rock	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lw	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	fl	rw
lbc	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	bmw	rbc
